iter	Logloss
0	0.6715106842
1	0.6504848927
2	0.6286206033
3	0.6105879536
4	0.5940208166
5	0.5778725346
6	0.5628351714
7	0.5474752419
8	0.5344752303
9	0.5221447776
10	0.5106495427
11	0.5008798561
12	0.4904530055
13	0.4822602435
14	0.4731715211
15	0.4647242178
16	0.4578645062
17	0.4515441923
18	0.4445282238
19	0.4379988963
20	0.4315011815
21	0.4257980801
22	0.4203429677
23	0.4153324985
24	0.4108734548
25	0.4063987536
26	0.402242092
27	0.3982035502
28	0.3945245145
29	0.3918996276
30	0.388892423
31	0.385186685
32	0.3816733818
33	0.37942375
34	0.3768733184
35	0.3740597164
36	0.3717461789
37	0.3700237537
38	0.3679318699
39	0.3660155111
40	0.3639257063
41	0.3620160586
42	0.3603533195
43	0.3588015684
44	0.3570852949
45	0.3560884366
46	0.3551304004
47	0.354006534
48	0.3527291568
49	0.351308685
50	0.3499643639
51	0.3489192416
52	0.3479074923
53	0.3468954998
54	0.3458893205
55	0.3449555931
56	0.344357544
57	0.3437064107
58	0.3432330248
59	0.3423518914
60	0.3417688935
61	0.3409827788
62	0.340430718
63	0.3399057336
64	0.3394453497
65	0.3388373692
66	0.3384413671
67	0.3378071808
68	0.3373259823
69	0.3368577083
70	0.3363762312
71	0.3359050116
72	0.3356072712
73	0.3352617071
74	0.3348933234
75	0.3344761705
76	0.3341517439
77	0.3337781758
78	0.3334535854
79	0.333120822
80	0.3328208694
81	0.3324560178
82	0.332220022
83	0.3318997209
84	0.331622685
85	0.331271039
86	0.3310729639
87	0.330854591
88	0.3306346291
89	0.3304203743
90	0.3302148852
91	0.3299381373
92	0.3297623613
93	0.3294236433
94	0.3291396211
95	0.3289313717
96	0.3287644225
97	0.3286028868
98	0.3284059842
99	0.3281161577
100	0.3278762667
101	0.3276677915
102	0.3274712488
103	0.3273017626
104	0.3271721725
105	0.3269970306
106	0.3268484094
107	0.3267682474
108	0.32665898
109	0.326435715
110	0.3263504388
111	0.3262391454
112	0.3260397065
113	0.3258681426
114	0.3256818305
115	0.3254715831
116	0.325405928
